Month,Month Label,orders,customers,sales,profit,avg_discount,profit_margin,sales_growth,profit_growth
2016-10-01,2016-10,166,50,249639,61509.909999999996,0.22403614457831325,0.24639543500815175,-0.41898207411476107,-0.4349224154047485
2016-11-01,2016-11,324,50,477720,121308.72,0.22543209876543213,0.2539326802310977,0.9136433009265379,0.972181718360505
2016-12-01,2016-12,316,50,472245,117760.26,0.22724683544303798,0.24936264015500428,-0.01146068826927904,-0.029251483322880745
2017-01-01,2017-01,89,45,131727,29008.8,0.2351685393258427,0.22021908948051652,-0.7210621605310803,-0.7536622286669543
2017-02-01,2017-02,83,46,132982,32683.32,0.22385542168674702,0.24577251056533966,0.009527279904651298,0.1266691486721272
2017-03-01,2017-03,163,48,238956,59920.01,0.23018404907975462,0.25075750347344283,0.7969048442646374,0.8333513853549763
2017-04-01,2017-04,170,48,247773,59817.03,0.2311764705882353,0.24141867757988159,0.036898006327524824,-0.0017186245462910144
2017-05-01,2017-05,225,47,332524,80991.2,0.22764444444444443,0.24356497576114805,0.3420509902208877,0.35398230236439354
2017-06-01,2017-06,199,49,291454,69709.74,0.222964824120603,0.2391792186760175,-0.12350988199348012,-0.13929241695394057
2017-07-01,2017-07,201,50,315531,77383.36,0.22875621890547265,0.24524804218919852,0.0826099487397669,0.11007959576380566
2017-08-01,2017-08,176,49,256089,66637.41,0.2230681818181818,0.2602119185127046,-0.1883871949190412,-0.13886641779317932
2017-09-01,2017-09,363,50,546728,137044.3,0.2262809917355372,0.25066266955414757,1.1349140337929393,1.0565670244386745
2017-10-01,2017-10,196,50,308026,69375.37,0.22903061224489796,0.22522569523351924,-0.4366010154958224,-0.4937741299711115
2017-11-01,2017-11,370,50,551815,134823.71,0.2262972972972973,0.2443277366508703,0.791455916059034,0.9433944640583538
2017-12-01,2017-12,352,50,518307,135821.97,0.22803977272727272,0.2620492680978648,-0.060723249639824894,0.007404187290202868
2018-01-01,2018-01,155,50,234739,60427.9,0.22161290322580646,0.2574259070712579,-0.5471043223417782,-0.5550948053543915
2018-02-01,2018-02,107,43,166267,41157.33,0.2188785046728972,0.24753757510510205,-0.29169417949296883,-0.3189018648670564
2018-03-01,2018-03,238,49,355704,82793.96,0.22584033613445378,0.23276083485144955,1.139354171302784,1.0116455562107651
2018-04-01,2018-04,203,48,310150,76978.34,0.21886699507389162,0.24819713042076413,-0.12806715696196835,-0.07024208046094194
2018-05-01,2018-05,242,49,367411,88614.25,0.21983471074380168,0.241185620463187,0.1846235692406899,0.15115823490088265
2018-06-01,2018-06,245,49,354902,87801.18,0.2336734693877551,0.24739556271872234,-0.03404634047429178,-0.009175386577215394
2018-07-01,2018-07,226,48,337092,86654.95,0.22504424778761062,0.25706617184626157,-0.05018286738310862,-0.013054835937284626
2018-08-01,2018-08,218,48,331014,79288.34,0.2305045871559633,0.23953168143945572,-0.018030685984835038,-0.08501083896534478
2018-09-01,2018-09,459,50,705680,176698.83,0.22405228758169934,0.25039512243509804,1.1318735763442032,1.2285600884064416
2018-10-01,2018-10,298,50,443898,115026.58,0.22848993288590605,0.2591284033719458,-0.3709641763972339,-0.3490246653019716
2018-11-01,2018-11,459,50,683410,175386.85,0.2290631808278867,0.2566348897440775,0.5395653956539566,0.5247506272028604
2018-12-01,2018-12,462,50,687245,173354.37,0.21876623376623378,0.2522453710103384,0.005611565531671969,-0.011588554101975235
